Everything.exe [filename],[-options],
-?,Show this help.,
-admin,Run Everything as Administrator.,
-admin-server-share-links,Use \\Server\C$ links for ETP connections.,
-app-data,Store data in application data.,
-bookmark <name>,Open a bookmark.,
-case,Enable case matching.,
-choose-language,Show the language selection page.,
-choose-volumes,Do not automatically index volumes.,
-close,Close the current search window.,
-config <filename>,The filename of the ini file.,
-connect <user:pass@host:port>,Connect to an ETP server.,
-console,Show the debugging console.,
-create-filelist <filename> <path>,Create a file list of a path.,
-create-usn-journal <volume> <max-size-bytes> <allocation-delta-bytes>,"Specifies the maximum size, in bytes, that NTFS allocates for the change journal",
-db <filename>,The filename of the database.,
-debug,Show the debugging console.,
-delete-usn-journal <volume>,Delete a USN Journal.,
-details,Show results in detail view.,
-diacritics,Enable diacritics matching.,
-disable-run-as-admin,Disable run as administrator.,
-disable-update-notification,Disable update notification on startup.,
-drive-links,Use C: links for ETP connections.,
-edit <filename>,Open a file list with the file list editor.,
-enable-run-as-admin,Enable run as administrator.,
-enable-update-notification,Enable update notification on startup.,
-exit,"Exit ""Everything"".",
-filelist <filename>,Open a file list.,
-filename <filename>,Search for a file or folder by filename.,
-filter <name>,Select a search filter.,
-ftp-links,Use ftp://host/C: links for ETP connections.,
-fullscreen,Show the search window fullscreen.,
-h,Show this help.,
-help,Show this help.,
-home,Open the home search.,
-install <location>,Install Everything to a new location.,
-install-client-service,"Install the ""Everything"" client as a service.",
-install-config <filename>,Install the specified ini file.,
-install-desktop-shortcut,Install desktop shortcut.,
-install-efu-association,Install EFU file association.,
-install-folder-context-menu,Install folder context menus.,
-install-quick-launch-shortcut,Install Quick Launch shortcut.,
-install-run-on-system-startup,"Install ""Everything"" from the system startup.",
-install-service,"Install and start the ""Everything"" service.",
-install-service-pipe-name <name>,Use the specified name for the Everything service pipe name.,
-install-service-security-descriptor,Specify the pipe security descriptor.,
-install-start-menu-shortcuts,"Install ""Everything"" shortcuts from the Start menu.",
-install-url-protocol,Install URL Protocol.,
-instance <name>,The name of the Everything instance.,
-load-delay <milliseconds>,The delay in milliseconds before loading the database.,
-l,Load the local database.,
-language <langID>,Set the language to the specified language ID.,
-local,Load the local database.,
-matchpath,Enable full path matching.,
-maximized,Maximize the search window.,
-minimized,Minimize the search window.,
-newwindow,Create a new search window.,
-noapp-data,Store data in executable location.,
-nocase,Disable case matching.,
-nodb,"Do not save to or load from the ""Everything"" database file.",
-nodiacritics,Disable diacritics matching.,
-nofullscreen,Show the search window in a window.,
-nomatchpath,Disable full path matching.,
-nomaximized,Unmaximize the search window.,
-nominimized,Unminimize the search window.,
-nonewwindow,Show an existing search window.,
-noontop,Disable always ontop.,
-noregex,Disable Regex.,
-noverbose,Display only basic debug messages.,
-nowholeword,Disable match whole word.,
-noww,Disable match whole word.,
-ontop,Enable always ontop.,
-p <path>,Search for a path.,
-parent <path>,Search for files and folders in the specified folder.,
-parentpath <path>,Search for the parent of a path.,
-path <path>,Search for a path.,
-quit,"Exit ""Everything"".",
-read-only,Loads the database in read-only mode.,
-regex,Enable Regex.,
-reindex,Force database rebuild.,
-s <text>,Set the search.,
-search <text>,Set the search.,
-searchfilelist <filename>,Search the specified text file for a list of file names.,
-server-share-links,Use \\Server\C: links for ETP connections.,
-service-pipe-name <name>,connect to the service pipe with the specified name.,
-sort <name>,Set the sort to the specified name.,
-sort-ascending,Sort ascending.,
-sort-descending,Sort descending.,
-start-client-service,Start the Everything client service.,
-start-service,Start the Everything service.,
-startup,Run Everything in the background.,
-stop-client-service,Stop the Everything client service.,
-stop-service,Stop the Everything service.,
-svc,Run Everything as a service.,
-svc-pipe-name <name>,Host the pipe server with the specified name.,
-svc-security-descriptor <sd>,Host the pipe server with the security descriptor.,
-thumbnail-size <size>,Specify the size of thumbnails in pixels.,
-thumbnails,Show results in thumbnail view.,
-toggle-window,Hides the current foreground search window or shows the search window.-uninstall [path],Uninstall Everything from the specified path.
-uninstall-client-service,"Uninstall the ""Everything"" client service.",
-uninstall-desktop-shortcut,Uninstall desktop shortcut.,
-uninstall-efu-association,Uninstall EFU file association.,
-uninstall-folder-context-menu,Uninstall folder context menus.,
-uninstall-quick-launch-shortcut,Uninstall Quick Launch shortcut.,
-uninstall-run-on-system-startup,"Remove ""Everything"" from the system startup.",
-uninstall-service,"Uninstall the ""Everything"" service.",
-uninstall-start-menu-shortcuts,"Uninstall ""Everything"" shortcuts from the Start menu.",
-uninstall-url-protocol,Uninstall URL Protocol.,
-uninstall-user,Uninstall user files.,
-update,Save the database to disk.,
-url <[es:]search>,Set the search from an ES: URL.,
-verbose,Display all debug messages.,
-wholeword,Enable match whole word.,
-ww,Enable match whole word.,